"","Start","API","Date_num","Paddy","ACC1","Cumul_since_last","max_EI30_since_last_event","Sum_EC_since_last_event","Microplot","Ruiss","Plot","Plot2","Treatment","Replicate","Coeff","Cumul_corr","Year","Crop","bad_data","Tot_Detachment"
"704",2018-05-26,26.6300511111315,17677,18.5,19.6,14.381,378.445204620259,39.7240202321224,"OR2-H1",2.6965661612736,"OR2","OR2","H","1",NA,18.5,"18","OR","ok",NA
"713",2018-05-28,35.8023326582034,17679,40.6,45.9,35.46,305.189118762839,82.9024934119713,"OR2-H1",5.4805177082787,"OR2","OR2","H","1",NA,40.6,"18","OR","ok",NA
"720",2018-05-30,21.6270332739972,17681,15.8,15.4,13.199,168.326766650481,40.6388965546955,"OR2-H1",2.1141512537836,"OR2","OR2","H","1",NA,15.8,"18","OR","ok",NA
"721",2018-05-30,19.9120453309837,17681,3.7,4.8,3.152,77.873390750623,12.3530124921674,"OR2-H1",0.2778149077139,"OR2","OR2","H","1",NA,3.7,"18","OR","ok",NA
"723",2018-06-02,7.72758348605009,17684,9.4,13.1,10.835,323.243546355272,19.3934885792236,"OR2-H1",1.4605501465129,"OR2","OR2","H","1",NA,9.4,"18","OR","ok",NA
"724",2018-06-02,14.6801974883448,17684,7.5,4.5,4.728,136.713252883056,14.4578313116599,"OR2-H1",2.0259445078698,"OR2","OR2","H","1",NA,7.5,"18","OR","ok",NA
"736",2018-06-09,7.98160599417144,17691,17.6,18.1,23.837,243.523763195867,69.9463177913758,"OR2-H1",1.4605501465129,"OR2","OR2","H","1",NA,17.6,"18","OR","ok",NA
"742",2018-06-12,3.1871920176346,17694,2.8,3.4,3.743,33.2126411363539,13.1887583940302,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,2.8,"18","OR","ok",NA
"745",2018-06-15,3.66164264515076,17697,4.2,2.8,3.94,84.8484039434011,14.2659338348872,"OR2-H1",0.028037295012312,"OR2","OR2","H","1",NA,4.2,"18","OR","ok",NA
"752",2018-06-18,12.2266033067686,17700,12.2,13.7,12.214,152.3625233131,23.8524635228213,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,12.2,"18","OR","ok",NA
"753",2018-06-19,6.78044409258519,17701,3,11.6,2.561,39.0578753775555,9.91316633948109,"OR2-H1",0.028037295012312,"OR2","OR2","H","1",NA,3,"18","OR","ok",NA
"757",2018-06-22,14.2321737561598,17704,11.5,13.2,11.82,84.8484039434011,22.6605559572345,"OR2-H1",0.73819577949948,"OR2","OR2","H","1",NA,11.5,"18","OR","ok",NA
"772",2018-06-26,11.6895956926207,17708,17.5,18.4,20.291,64.315648480686,34.8396508348311,"OR2-H1",1.2037067504852,"OR2","OR2","H","1",NA,17.5,"18","OR","ok",NA
"777",2018-06-27,13.2607126559604,17709,2.3,2.5,2.561,8.12678491933897,5.31592405789986,"OR2-H1",0,"OR2","OR2","H","1",NA,2.3,"18","OR","ok",NA
"785",2018-07-08,9.06118594368699,17720,10.6,10.5,11.229,136.713252883056,19.8534226905976,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,10.6,"18","OR","ok",NA
"788",2018-07-09,8.00526817756402,17721,2,2.8,2.758,8.12678491933897,5.23625673686204,"OR2-H1",0.19448210212753,"OR2","OR2","H","1",NA,2,"18","OR","ok",NA
"792",2018-07-11,16.4226967999067,17723,39.2,37.1,21.276,332.337954191291,25.2878275917413,"OR2-H1",3.6273854000355,"OR2","OR2","H","1",NA,39.2,"18","OR","ok",NA
"796",2018-07-12,11.2450393352905,17724,1.6,2.5,7.486,184.583444960256,22.370997651141,"OR2-H1",0.23613775818533,"OR2","OR2","H","1",NA,1.6,"18","OR","ok",NA
"797",2018-07-12,16.1156680446509,17724,5.5,27,5.122,64.315648480686,11.6598347499431,"OR2-H1",0.48658665725765,"OR2","OR2","H","1",NA,5.5,"18","OR","ok",NA
"800",2018-07-17,4.14385767096932,17729,2.7,3.3,3.152,12.4404609585798,10.0179851589736,"OR2-H1",0.2778149077139,"OR2","OR2","H","1",NA,2.7,"18","OR","ok",NA
"802",2018-07-17,3.70740911272739,17729,2.8,1.9,2.955,27.5951326069947,8.7946346145147,"OR2-H1",0.15284609422673,"OR2","OR2","H","1",NA,2.8,"18","OR","ok",NA
"822",2018-07-21,43.9728978552482,17733,68.1,79.2,62.0549999999999,121.405261768548,91.3951821852119,"OR2-H1",9.0705449158774,"OR2","OR2","H","1",NA,68.1,"18","OR","ok",NA
"829",2018-07-22,43.4390421972517,17734,10.9,15.6,11.426,39.0578753775555,38.0526778500917,"OR2-H1",1.4605501465129,"OR2","OR2","H","1",NA,10.9,"18","OR","ok",NA
"832",2018-07-24,25.3346904939412,17736,10.1,23.6,12.411,106.469657675903,36.804494266231,"OR2-H1",1.0761157236284,"OR2","OR2","H","1",NA,10.1,"18","OR","ok",NA
"841",2018-07-25,42.4363447681813,17737,37.1,62.1,29.156,369.141903837106,55.9305086995509,"OR2-H1",6.7830295293989,"OR2","OR2","H","1",NA,37.1,"18","OR","ok",NA
"845",2018-07-26,43.5078210990032,17738,19.9,29.1,13.199,121.405261768548,17.7490086615319,"OR2-H1",3.9157876635092,"OR2","OR2","H","1",NA,19.9,"18","OR","ok",NA
"855",2018-07-30,21.2295962176289,17742,9.5,14.4,35.066,121.405261768548,46.653242780685,"OR2-H1",1.9819711678002,"OR2","OR2","H","1",NA,9.5,"18","OR","ok",NA
"867",2018-08-10,10.1181109868179,17753,20.4,27.6,26.595,252.178182096872,68.1131814978242,"OR2-H1",1.7198717216935,"OR2","OR2","H","1",NA,20.4,"18","OR","ok",NA
"873",2018-08-11,11.0690478926766,17754,8.6,9.6,7.092,64.315648480686,30.8074818566251,"OR2-H1",1.0336983252458,"OR2","OR2","H","1",NA,8.6,"18","OR","ok",NA
"889",2018-08-13,13.3444617272487,17756,19.1,11,11.426,27.5951326069947,47.1675118285437,"OR2-H1",4.0616742042156,"OR2","OR2","H","1",NA,19.1,"18","OR","ok",NA
"891",2018-08-13,13.0994678161985,17756,27,31.1,23.443,184.583444960256,27.2760314470883,"OR2-H1",8.3448521805746,"OR2","OR2","H","1",NA,27,"18","OR","ok",NA
"893",2018-08-15,75.3991136980003,17758,69.3,82.5,55.3570000000002,1089.62263564403,22.8955335313925,"OR2-H1",26.766444360304,"OR2","OR2","H","1",NA,69.3,"18","OR","ok",NA
"899",2018-08-17,51.0331031935434,17760,57.3,77.2,43.734,915.081316833394,58.1971850272494,"OR2-H1",14.948498060894,"OR2","OR2","H","1",NA,57.3,"18","OR","ok",NA
"912",2018-08-18,80.6849768942621,17761,32.4,58.7,32.702,234.924629460267,69.8882870286796,"OR2-H1",23.591569976339,"OR2","OR2","H","1",NA,32.4,"18","OR","ok",NA
"914",2018-08-18,64.5661242143579,17761,2.1,2.5,1.97,33.2126411363539,9.40606071532825,"OR2-H1",0.23613775818533,"OR2","OR2","H","1",NA,2.1,"18","OR","ok",NA
"918",2018-08-23,73.9361194483735,17766,80.8,99.7,69.5410000000002,819.050517971827,48.4231802109385,"OR2-H1",40.087437805425,"OR2","OR2","H","1",NA,80.8,"18","OR","ok",NA
