Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-06	13/06/17	OR2	NH	1	OR2-NH1	(13-06-17)	45.570	
2017-06	13/06/17	OR2	NH	2	OR2-NH2	(13-06-17)	38.411	
2017-06	13/06/17	OR2	NH	3	OR2-NH3	(13-06-17)	13.291	
2017-06	15/06/17	OR2	H	1	OR2-H1	(15-06-17)	39.413	
2017-06	15/06/17	OR2	H	2	OR2-H2	(15-06-17)	16.039	
2017-06	15/06/17	OR2	H	3	OR2-H3	(15-06-17)	24.293	
2017-06	15/06/17	OR2	NH	1	OR2-NH1	(15-06-17)	47.701	
2017-06	15/06/17	OR2	NH	2	OR2-NH2	(15-06-17	41.047	
2017-06	15/06/17	OR2	NH	3	OR2-NH3	(15-06-17	13.722	
2017-06	18/06/17	OR2	H	1	OR2-H1	(18-06-17)	36.905	
2017-06	18/06/17	OR2	H	2	OR2-H2	(18-06-17)	13.492	
2017-06	18/06/17	OR2	H	3	OR2-H3	(18-06-17)	24.610	
2017-06	18/06/17	OR2	NH	1	OR2-NH1	(18-06-17)	45.020	
2017-06	18/06/17	OR2	NH	2	OR2-NH2	(18-06-17)	40.113	
2017-06	18/06/17	OR2	NH	3	OR2-NH3	(18-06-17)	13.081	
2017-06	27/06/17	OR2	H	1	OR2-H1	(27-06-17)	45.955	
2017-06	27/06/17	OR2	H	2	OR2-H2	(27-06-17)	18.758	
2017-06	27/06/17	OR2	H	3	OR2-H3	(27-06-27)	34.639	
2017-06	27/06/17	OR2	NH	1	OR2-NH1	(27-06-17)	50.182	
2017-06	27/06/17	OR2	NH	2	OR2-NH2	(27-06-17)	45.756	
2017-06	27/06/17	OR2	NH	3	OR2-NH3	(27-06-17)	17.577	
2017-06	28/06/17	OR2	H	1	OR2-H1	(28-06-17)	41.079	
2017-06	28/06/17	OR2	H	2	OR2-H2	(28-06-17)	15.234	
2017-06	28/06/17	OR2	H	3	OR2-H3	(28-06-17)	33.112	
2017-06	28/06/17	OR2	NH	1	OR2-NH1	(28-06-17)	49.980	
2017-06	28/06/17	OR2	NH	2	OR2-NH2	(28-06-17)	42.744	
2017-06	28/06/17	OR2	NH	3	OR2-NH3	(28-06-17)	16.595	
2017-07	01/07/17	OR2	H	1	OR2-H1	(01-07-17)	43.483	
2017-07	01/07/17	OR2	H	2	OR2-H2	(01-07-17)	16.784	
2017-07	01/07/17	OR2	H	3	OR2-H3	(01-07-17)	34.518	
2017-07	01/07/17	OR2	NH	1	OR2-NH1	(01-07-17)	49.668	
2017-07	01/07/17	OR2	NH	2	OR2-NH2	(01-07-17)	41.679	
2017-07	01/07/17	OR2	NH	3	OR2-NH3	(01-07-17)	17.797	
2017-07	06/07/17	OR2	H	1	OR2-H1	(06-07-17)	45.601	
2017-07	06/07/17	OR2	H	2	OR2-H2	(06-07-17)	15.333	
2017-07	06/07/17	OR2	H	3	OR2-H3	(06-07-17)	33.826	
2017-07	06/07/17	OR2	NH	1	OR2-NH1	(06-07-17)	51.634	
2017-07	06/07/17	OR2	NH	2	OR2-NH2	(06-07-17)	43.931	
2017-07	06/07/17	OR2	NH	3	OR2-NH3	(06-07-17)	18.465	
2017-07	08/07/17	OR2	H	1	OR2-H1	(08-07-17)	43.676	
2017-07	08/07/17	OR2	H	2	OR2-H2	(08-07-17)	16.307	
2017-07	08/07/17	OR2	H	3	OR2-H3	(08-07-17)	33.822	
2017-07	08/07/17	OR2	NH	1	OR2-NH1	(08-07-17)	52.036	
2017-07	08/07/17	OR2	NH	2	OR2-NH2	(08-07-17)	43.124	
2017-07	08/07/17	OR2	NH	3	OR2-NH3	(08-07-17)	18.004	
2017-07	09/07/17	OR2	H	1	OR2-H1	(09-07-17)	47.917	
2017-07	09/07/17	OR2	H	2	OR2-H2	(09-07-17)	18.167	
2017-07	09/07/17	OR2	H	3	OR2-H3	(09-07-17)	36.404	
2017-07	09/07/17	OR2	NH	1	OR2-NH1	(09-07-17)	53.729	
2017-07	09/07/17	OR2	NH	2	OR2-NH2	(09-07-17)	44.201	
2017-07	09/07/17	OR2	NH	3	OR2-NH3	(09-07-17)	19.619	
2017-07	16/07/17	OR2	H	1	OR2-H1	(16-07-17)	47.458	
2017-07	16/07/17	OR2	H	2	OR2-H2	(16-07-17)	17.747	
2017-07	16/07/17	OR2	H	3	OR2-H3	(16-07-17)	37.566	
2017-07	16/07/17	OR2	NH	1	OR2-NH1	(16-07-17)	54.679	
2017-07	16/07/17	OR2	NH	2	OR2-NH2	(16-07-17)	44.067	
2017-07	16/07/17	OR2	NH	3	OR2-NH3	(16-07-17)	21.567	
2017-07	22/07/17	OR2	H	1	OR2-H1	(22-07-17)	53.516	
